ID,medv
3,30.599594052276604
6,25.10045907605337
8,18.158993285760626
9,9.303476463337649
10,17.689729148703023
18,16.651820924942484
20,18.518821285635227
25,15.237934776774257
26,12.775390260278453
27,15.09480042537163
29,19.328575452418562
30,20.76039670293553
33,7.256504073899343
34,13.675262001611088
36,23.769684759160214
37,22.161243189519368
38,23.236981233251353
42,28.24020487595925
49,6.951921578451394
53,27.572127257248088
60,20.94591814479904
63,23.88416113015279
70,20.517307878470884
72,21.71863158023078
79,20.92650020833326
80,22.50487235472917
83,26.03767504437008
92,27.13701545761565
93,29.1859982285136
96,28.343453011772603
98,35.620312129003864
99,35.20970595627159
100,32.03584104602021
105,21.363282305074396
106,18.1587445943486
111,20.689680257559708
113,20.21639887236775
114,20.06733566191932
116,19.808628450950074
126,22.80952871347257
130,14.242513107436238
131,20.555144198495633
133,20.679187591371395
136,17.47377758228101
141,13.275689767999243
144,11.766252873779688
145,8.09536664710149
147,15.518474057284699
152,18.626118775383834
153,21.69568429790002
156,20.96229313709086
158,33.66835399309383
163,42.31009306120401
169,26.239203344805134
185,21.988401747983747
186,24.156770685030853
189,32.20837755572541
196,40.5166405340011
197,35.355195119847465
199,33.70726511422846
200,29.788925089098964
203,36.76125057104498
208,17.133132123981365
210,16.93836756721594
211,22.75823379658594
213,23.42171225791182
216,24.619864530016756
218,28.27753005610993
219,25.346882755986712
220,30.626954404784588
221,34.03164694511129
229,35.91316055919265
232,33.32124548996238
238,32.82912131962327
239,28.242746875860405
240,28.04833266728799
242,22.896230317535927
246,12.236082440738155
248,19.215882223246556
253,25.08367276302437
255,23.3169078699325
256,20.92075871427894
257,37.2979311927633
258,43.184896056902375
259,36.131900808992995
260,34.73702030862406
268,40.46392133116584
270,26.354459254141616
271,21.973801906009314
276,34.07830089438344
277,36.65310806734595
278,36.15884363144889
279,30.396026071538287
281,38.46115856120443
288,26.691092463317936
290,26.354941306029065
292,34.72377855306287
295,24.11382064942436
296,28.454909209002523
299,28.551996395397573
300,31.399343680284105
301,30.012706918624243
308,32.64273106999014
314,25.66386662740904
315,25.444796589660484
320,21.17632865081783
322,25.08173409235021
323,23.05249877507158
324,19.195530323489002
327,24.02787965227985
330,23.959331634827844
332,19.294968163553996
333,22.935076716526908
336,20.813093513313937
338,19.180617631555656
346,15.877283251778138
347,13.890908225610172
351,20.068447597008387
352,19.92549671462989
354,24.831850339336178
355,14.085510691495578
356,16.532089147319894
362,19.868835799505895
364,22.31776179944467
365,40.05409118482835
370,35.36830525340501
376,27.07661707300704
379,17.09481131169331
380,17.898729008183068
381,19.74471523695533
382,19.471968002332353
386,8.49518842976962
389,6.701479353070312
391,18.080965821885314
394,21.33520316344194
396,21.223911268788626
398,17.02479051957147
400,10.93222359803952
403,18.953850339510897
405,9.31553894852722
406,12.006423558873749
407,9.191303350978075
410,20.19073093840813
411,17.961931045152713
412,16.832165604175742
413,0.9272752505201325
417,12.871060002289106
421,20.67436917526306
422,18.96491456480596
423,19.534634245734246
424,12.525306940166441
427,16.69777303124095
431,18.12860479578689
436,13.369566759030949
437,14.933235437820251
439,4.193313804379066
447,18.33128712895771
450,17.72043389681455
451,16.403255489084145
455,15.215037191421104
457,12.397221245903303
471,20.68477481090601
474,26.569346013599162
476,15.928474277012995
483,29.737253055800338
486,23.21495735470227
490,7.741832277215607
495,20.754071708503595
496,16.7632940189744
497,13.415179318585057
499,21.361445982222598
501,20.341302321087582
505,26.675487807542034
